2026-01-01 17:08:29 | LINEAUSDT | ВХОД |  | Score: 92 | Entry: 0.006447 | Exit: 0.006547 | Leverage: 20.0x | PnL: -1.55% ($-31.02) | Reason: TIMEOUT | Duration: 240m
2026-01-01 17:52:40 | ICPUSDT | ВХОД |  | Score: 92 | Entry: 2.922000 | Exit: 2.997000 | Leverage: 20.0x | PnL: -2.57% ($-51.33) | Reason: SL_HIT | Duration: 49m
2026-01-01 19:49:32 | RECALLUSDT | ВХОД |  | Score: 90 | Entry: 0.111880 | Exit: 0.107800 | Leverage: 20.0x | PnL: +3.65% ($+36.47) | Reason: TP2_HIT | Duration: 166m
2026-01-01 19:49:52 | ZENUSDT | ВХОД | Рост/Кор | Score: 100 | Entry: 9.677000 | Exit: 9.308000 | Leverage: 19.4x | PnL: +3.81% ($+36.90) | Reason: TP2_HIT | Duration: 185m
2026-01-01 20:16:56 | NEARUSDT | ВХОД |  | Score: 95 | Entry: 1.543000 | Exit: 1.584500 | Leverage: 20.0x | PnL: -2.69% ($-53.79) | Reason: SL_HIT | Duration: 194m
2026-01-01 20:44:22 | CYSUSDT | ВХОД | Памп/Кор | Score: 81 | Entry: 0.357700 | Exit: 0.339600 | Leverage: 17.8x | PnL: +5.06% ($+44.97) | Reason: TP2_HIT | Duration: 123m
2026-01-01 20:45:44 | LITUSDT | ВХОД |  | Score: 95 | Entry: 2.601600 | Exit: 2.701700 | Leverage: 17.2x | PnL: -3.85% ($-66.29) | Reason: SL_HIT | Duration: 67m
2026-01-01 20:45:52 | BERAUSDT | ВХОД |  | Score: 93 | Entry: 0.636200 | Exit: 0.653700 | Leverage: 20.0x | PnL: -2.75% ($-55.01) | Reason: SL_HIT | Duration: 217m
2026-01-01 20:46:12 | 1000PEPEUSDT | ВХОД |  | Score: 93 | Entry: 0.004165 | Exit: 0.004468 | Leverage: 20.0x | PnL: -7.27% ($-145.50) | Reason: SL_HIT | Duration: 223m
2026-01-01 20:46:12 | ADAUSDT | ВХОД |  | Score: 85 | Entry: 0.343100 | Exit: 0.352400 | Leverage: 20.0x | PnL: -2.71% ($-54.21) | Reason: SL_HIT | Duration: 160m
2026-01-01 20:46:20 | BOMEUSDT | ВХОД |  | Score: 94 | Entry: 0.000554 | Exit: 0.000577 | Leverage: 20.0x | PnL: -4.10% ($-81.93) | Reason: SL_HIT | Duration: 223m
2026-01-01 20:46:20 | COOKIEUSDT | ВХОД | Рост/Кор | Score: 86 | Entry: 0.043360 | Exit: 0.044540 | Leverage: 18.8x | PnL: -2.72% ($-51.03) | Reason: SL_HIT | Duration: 103m
2026-01-01 20:46:28 | ENAUSDT | ВХОД |  | Score: 92 | Entry: 0.205300 | Exit: 0.211800 | Leverage: 20.0x | PnL: -3.17% ($-63.32) | Reason: SL_HIT | Duration: 218m
2026-01-01 20:46:58 | SHIB1000USDT | ВХОД |  | Score: 83 | Entry: 0.007063 | Exit: 0.007290 | Leverage: 20.0x | PnL: -3.21% ($-64.28) | Reason: SL_HIT | Duration: 218m
2026-01-01 21:02:48 | PNUTUSDT | ВХОД |  | Score: 93 | Entry: 0.070620 | Exit: 0.071370 | Leverage: 20.0x | PnL: -1.06% ($-21.24) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:02:48 | ASTERUSDT | ВХОД |  | Score: 92 | Entry: 0.697800 | Exit: 0.704900 | Leverage: 20.0x | PnL: -1.02% ($-20.35) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:02:48 | XPLUSDT | ВХОД |  | Score: 92 | Entry: 0.171410 | Exit: 0.171860 | Leverage: 20.0x | PnL: -0.26% ($-5.25) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:05:32 | PENDLEUSDT | ВХОД |  | Score: 95 | Entry: 1.934100 | Exit: 1.945300 | Leverage: 20.0x | PnL: -0.58% ($-11.58) | Reason: TIMEOUT | Duration: 240m
